homeTeam,awayTeam,league,odds,date,time
Wigan,Bolton,eng1,"['1.95', '3.47', '3.79']",2022-04-02,13:30
Accrington,Cheltenham,eng1,"['2.18', '3.51', '3.11']",2022-04-02,16:00
Charlton,Lincoln,eng1,"['2.07', '3.43', '3.41']",2022-04-02,16:00
Crewe,Fleetwood,eng1,"['2.62', '3.30', '2.62']",2022-04-02,16:00
Ipswich,Cambridge Utd,eng1,"['1.42', '4.39', '7.53']",2022-04-02,16:00
MK Dons,Shrewsbury,eng1,"['1.94', '3.29', '4.07']",2022-04-02,16:00
Morecambe,Burton,eng1,"['2.68', '3.34', '2.53']",2022-04-02,16:00
Plymouth,Oxford Utd,eng1,"['2.46', '3.46', '2.69']",2022-04-02,16:00
Sheffield Wed,AFC Wimbledon,eng1,"['1.36', '4.63', '8.46']",2022-04-02,16:00
Sunderland,Gillingham,eng1,"['1.47', '4.24', '6.73']",2022-04-02,16:00
Wycombe,Doncaster,eng1,"['1.36', '4.68', '8.38']",2022-04-02,16:00
AFC Wimbledon,Charlton,eng1,"['2.68', '3.20', '2.58']",2022-04-05,20:45
Wigan,Accrington,eng1,"['1.54', '4.08', '5.72']",2022-04-05,20:45
Cambridge Utd,Wycombe,eng1,"['3.43', '3.35', '2.07']",2022-04-05,20:45
Fleetwood,Lincoln,eng1,"['2.49', '3.22', '2.77']",2022-04-05,20:45
MK Dons,Crewe,eng1,"['1.31', '5.06', '8.94']",2022-04-05,20:45
Morecambe,Oxford Utd,eng1,"['3.81', '3.55', '1.89']",2022-04-05,20:45
Bolton,Portsmouth,eng1,"['2.17', '3.30', '3.21']",2022-04-05,21:00
