homeTeam,awayTeam,league,result,odds,date
Leicester,Brentford,Premier League,2:1,"['2.12', '3.37', '3.59']",2022-03-20
Tottenham,West Ham,Premier League,3:1,"['1.72', '3.80', '5.12']",2022-03-20
Aston Villa,Arsenal,Premier League,0:1,"['2.98', '3.37', '2.45']",2022-03-19
Wolves,Leeds,Premier League,2:3,"['2.21', '3.35', '3.41']",2022-03-18
Everton,Newcastle,Premier League,1:0,"['2.42', '3.18', '3.16']",2022-03-17
Arsenal,Liverpool,Premier League,0:2,"['3.58', '3.65', '2.04']",2022-03-16
Brighton,Tottenham,Premier League,0:2,"['3.63', '3.39', '2.11']",2022-03-16
Crystal Palace,Manchester City,Premier League,0:0,"['9.75', '5.37', '1.33']",2022-03-14
Arsenal,Leicester,Premier League,2:0,"['1.42', '4.88', '7.40']",2022-03-13
Chelsea,Newcastle,Premier League,1:0,"['1.40', '4.80', '8.29']",2022-03-13
Everton,Wolves,Premier League,0:1,"['2.26', '3.11', '3.57']",2022-03-13
Leeds,Norwich,Premier League,2:1,"['1.62', '4.17', '5.45']",2022-03-13
Southampton,Watford,Premier League,1:2,"['1.65', '4.07', '5.27']",2022-03-13
West Ham,Aston Villa,Premier League,2:1,"['2.49', '3.27', '2.95']",2022-03-13
Brentford,Burnley,Premier League,2:0,"['2.11', '3.26', '3.77']",2022-03-12
Brighton,Liverpool,Premier League,0:2,"['6.75', '4.62', '1.47']",2022-03-12
Manchester Utd,Tottenham,Premier League,3:2,"['2.31', '3.51', '3.08']",2022-03-12
Leeds,Aston Villa,Premier League,0:3,"['2.84', '3.56', '2.44']",2022-03-10
Wolves,Watford,Premier League,4:0,"['1.92', '3.43', '4.34']",2022-03-10
Southampton,Newcastle,Premier League,1:2,"['1.95', '3.55', '4.05']",2022-03-10
Norwich,Chelsea,Premier League,1:3,"['9.56', '4.88', '1.36']",2022-03-10
Tottenham,Everton,Premier League,5:0,"['1.71', '3.92', '4.95']",2022-03-07
Manchester City,Manchester Utd,Premier League,4:1,"['1.40', '5.01', '7.68']",2022-03-06
Watford,Arsenal,Premier League,2:3,"['6.57', '4.24', '1.53']",2022-03-06
Liverpool,West Ham,Premier League,1:0,"['1.25', '6.63', '11.14']",2022-03-05
Wolves,Crystal Palace,Premier League,0:2,"['2.36', '3.00', '3.47']",2022-03-05
Newcastle,Brighton,Premier League,2:1,"['2.64', '3.11', '2.90']",2022-03-05
Norwich,Brentford,Premier League,1:3,"['3.10', '3.15', '2.45']",2022-03-05
Leicester,Leeds,Premier League,1:0,"['2.03', '3.77', '3.51']",2022-03-05
Burnley,Chelsea,Premier League,0:4,"['7.40', '4.03', '1.51']",2022-03-05
Aston Villa,Southampton,Premier League,4:0,"['2.22', '3.53', '3.22']",2022-03-05
Burnley,Leicester,Premier League,0:2,"['2.90', '3.28', '2.53']",2022-03-01
West Ham,Wolves,Premier League,1:0,"['1.92', '3.33', '4.49']",2022-02-27
Brentford,Newcastle,Premier League,0:2,"['2.35', '3.10', '3.37']",2022-02-26
Brighton,Aston Villa,Premier League,0:2,"['2.21', '3.26', '3.50']",2022-02-26
Crystal Palace,Burnley,Premier League,1:1,"['1.90', '3.32', '4.59']",2022-02-26
Everton,Manchester City,Premier League,0:1,"['12.54', '6.32', '1.24']",2022-02-26
Leeds,Tottenham,Premier League,0:4,"['3.73', '3.79', '1.96']",2022-02-26
Manchester Utd,Watford,Premier League,0:0,"['1.37', '4.98', '8.64']",2022-02-26
Southampton,Norwich,Premier League,2:0,"['1.50', '4.45', '6.54']",2022-02-25
Arsenal,Wolves,Premier League,2:1,"['1.66', '3.69', '5.80']",2022-02-24
Watford,Crystal Palace,Premier League,1:4,"['2.95', '3.10', '2.63']",2022-02-23
Burnley,Tottenham,Premier League,1:0,"['4.60', '3.61', '1.82']",2022-02-23
Liverpool,Leeds,Premier League,6:0,"['1.18', '8.09', '14.65']",2022-02-23
Leeds,Manchester Utd,Premier League,2:4,"['4.80', '4.13', '1.69']",2022-02-20
Wolves,Leicester,Premier League,2:1,"['2.20', '3.22', '3.60']",2022-02-20
Arsenal,Brentford,Premier League,2:1,"['1.54', '3.90', '7.13']",2022-02-19
Aston Villa,Watford,Premier League,0:1,"['1.64', '3.93', '5.49']",2022-02-19
Brighton,Burnley,Premier League,0:3,"['1.63', '3.75', '6.12']",2022-02-19
Crystal Palace,Chelsea,Premier League,0:1,"['5.58', '3.71', '1.67']",2022-02-19
Liverpool,Norwich,Premier League,3:1,"['1.12', '9.35', '22.71']",2022-02-19
Manchester City,Tottenham,Premier League,2:3,"['1.27', '6.06', '10.88']",2022-02-19
Southampton,Everton,Premier League,2:0,"['2.07', '3.52', '3.59']",2022-02-19
West Ham,Newcastle,Premier League,1:1,"['1.64', '4.00', '5.41']",2022-02-19
Manchester Utd,Brighton,Premier League,2:0,"['1.84', '3.56', '4.55']",2022-02-15
Newcastle,Aston Villa,Premier League,1:0,"['2.77', '3.38', '2.58']",2022-02-13
Tottenham,Wolves,Premier League,0:2,"['1.69', '3.69', '5.51']",2022-02-13
Leicester,West Ham,Premier League,2:2,"['2.89', '3.48', '2.44']",2022-02-13
Burnley,Liverpool,Premier League,0:1,"['12.85', '6.64', '1.23']",2022-02-13
Brentford,Crystal Palace,Premier League,0:0,"['2.91', '3.07', '2.68']",2022-02-12
Everton,Leeds,Premier League,3:0,"['2.49', '3.54', '2.79']",2022-02-12
Manchester Utd,Southampton,Premier League,1:1,"['1.55', '4.45', '5.70']",2022-02-12
Norwich,Manchester City,Premier League,0:4,"['15.98', '7.30', '1.19']",2022-02-12
Watford,Brighton,Premier League,0:2,"['3.77', '3.27', '2.11']",2022-02-12
Liverpool,Leicester,Premier League,2:0,"['1.21', '7.24', '12.87']",2022-02-10
Wolves,Arsenal,Premier League,0:1,"['3.69', '3.17', '2.19']",2022-02-10
Norwich,Crystal Palace,Premier League,1:1,"['3.53', '3.25', '2.21']",2022-02-09
Tottenham,Southampton,Premier League,2:3,"['1.58', '4.17', '5.79']",2022-02-09
Aston Villa,Leeds,Premier League,3:3,"['1.91', '3.79', '3.90']",2022-02-09
Manchester City,Brentford,Premier League,2:0,"['1.09', '10.84', '29.75']",2022-02-09
Burnley,Manchester Utd,Premier League,1:1,"['6.20', '4.19', '1.56']",2022-02-08
Newcastle,Everton,Premier League,3:1,"['2.50', '3.34', '2.91']",2022-02-08
West Ham,Watford,Premier League,1:0,"['1.54', '4.23', '6.39']",2022-02-08
Burnley,Watford,Premier League,0:0,"['2.19', '3.26', '3.59']",2022-02-05
Crystal Palace,Liverpool,Premier League,1:3,"['5.91', '4.14', '1.57']",2022-01-23
Leicester,Brighton,Premier League,1:1,"['2.58', '3.41', '2.75']",2022-01-23
Arsenal,Burnley,Premier League,0:0,"['1.30', '5.39', '10.97']",2022-01-23
Chelsea,Tottenham,Premier League,2:0,"['1.73', '3.78', '5.00']",2022-01-23
Manchester Utd,West Ham,Premier League,1:0,"['2.07', '3.62', '3.50']",2022-01-22
Southampton,Manchester City,Premier League,1:1,"['10.65', '6.00', '1.28']",2022-01-22
Brentford,Wolves,Premier League,1:2,"['2.45', '3.05', '3.22']",2022-01-22
Leeds,Newcastle,Premier League,0:1,"['1.90', '3.85', '3.91']",2022-01-22
Everton,Aston Villa,Premier League,0:1,"['2.72', '3.40', '2.62']",2022-01-22
Watford,Norwich,Premier League,0:3,"['2.02', '3.52', '3.75']",2022-01-21
Brentford,Manchester Utd,Premier League,1:3,"['4.54', '3.69', '1.80']",2022-01-19
Leicester,Tottenham,Premier League,2:3,"['3.19', '3.39', '2.28']",2022-01-19
Brighton,Chelsea,Premier League,1:1,"['5.51', '3.76', '1.66']",2022-01-18
Liverpool,Brentford,Premier League,3:0,"['1.27', '6.14', '11.19']",2022-01-16
West Ham,Leeds,Premier League,2:3,"['1.66', '4.19', '4.84']",2022-01-16
Newcastle,Watford,Premier League,1:1,"['1.82', '3.74', '4.33']",2022-01-15
Norwich,Everton,Premier League,2:1,"['3.38', '3.31', '2.23']",2022-01-15
Wolves,Southampton,Premier League,3:1,"['2.42', '3.07', '3.24']",2022-01-15
