homeTeam,awayTeam,league,odds,date,time
Liverpool,Watford,premier,"['1.12', '9.34', '21.70']",2022-04-02,13:30
Brighton,Norwich,premier,"['1.50', '4.09', '7.41']",2022-04-02,16:00
Burnley,Manchester City,premier,"['13.72', '6.51', '1.22']",2022-04-02,16:00
Chelsea,Brentford,premier,"['1.35', '4.96', '9.89']",2022-04-02,16:00
Leeds,Southampton,premier,"['2.42', '3.57', '2.83']",2022-04-02,16:00
Wolves,Aston Villa,premier,"['3.00', '3.08', '2.57']",2022-04-02,16:00
Manchester Utd,Leicester,premier,"['1.51', '4.55', '6.05']",2022-04-02,18:30
West Ham,Everton,premier,"['1.78', '3.74', '4.59']",2022-04-03,15:00
Tottenham,Newcastle,premier,"['1.51', '4.35', '6.56']",2022-04-03,17:30
Crystal Palace,Arsenal,premier,"['4.04', '3.38', '1.98']",2022-04-04,21:00
Burnley,Everton,premier,"['2.65', '3.19', '2.75']",2022-04-06,20:30
