homeTeam,awayTeam,league,result,odds,date
Salernitana,Spezia,Serie A,2:2,"['2.70', '3.20', '2.71']",2022-02-07
Juventus,Verona,Serie A,2:0,"['1.59', '3.90', '6.01']",2022-02-06
Venezia,Napoli,Serie A,0:2,"['7.25', '4.43', '1.45']",2022-02-06
Atalanta,Cagliari,Serie A,1:2,"['1.22', '6.64', '12.64']",2022-02-06
Bologna,Empoli,Serie A,0:0,"['2.04', '3.49', '3.62']",2022-02-06
Udinese,Torino,Serie A,2:0,"['3.14', '3.12', '2.41']",2022-02-06
Sampdoria,Sassuolo,Serie A,4:0,"['2.72', '3.67', '2.43']",2022-02-06
Inter,AC Milan,Serie A,1:2,"['1.88', '3.61', '4.15']",2022-02-05
AS Roma,Genoa,Serie A,0:0,"['1.37', '4.96', '8.25']",2022-02-05
Fiorentina,Lazio,Serie A,0:3,"['2.36', '3.39', '3.01']",2022-02-05
AC Milan,Juventus,Serie A,0:0,"['2.67', '3.16', '2.75']",2022-01-23
Cagliari,Fiorentina,Serie A,1:1,"['6.34', '4.30', '1.51']",2022-01-23
Empoli,AS Roma,Serie A,2:4,"['3.83', '3.93', '1.87']",2022-01-23
Napoli,Salernitana,Serie A,4:1,"['1.12', '8.74', '23.52']",2022-01-23
Spezia,Sampdoria,Serie A,1:0,"['2.60', '3.17', '2.83']",2022-01-23
Torino,Sassuolo,Serie A,1:1,"['1.94', '3.64', '3.81']",2022-01-23
Genoa,Udinese,Serie A,0:0,"['3.48', '3.24', '2.18']",2022-01-22
Inter,Venezia,Serie A,2:1,"['1.11', '9.56', '22.12']",2022-01-22
Lazio,Atalanta,Serie A,0:0,"['2.27', '3.52', '3.05']",2022-01-22
Verona,Bologna,Serie A,2:1,"['1.83', '3.68', '4.24']",2022-01-21
AC Milan,Spezia,Serie A,1:2,"['1.29', '5.72', '9.87']",2022-01-17
Bologna,Napoli,Serie A,0:2,"['4.33', '3.58', '1.84']",2022-01-17
Fiorentina,Genoa,Serie A,6:0,"['1.40', '4.76', '7.95']",2022-01-17
Venezia,Empoli,Serie A,1:1,"['2.85', '3.50', '2.39']",2022-01-16
Sassuolo,Verona,Serie A,2:4,"['2.41', '3.38', '2.93']",2022-01-16
AS Roma,Cagliari,Serie A,1:0,"['1.34', '5.26', '8.47']",2022-01-16
Atalanta,Inter,Serie A,0:0,"['3.09', '3.53', '2.25']",2022-01-16
Juventus,Udinese,Serie A,2:0,"['1.42', '4.62', '7.85']",2022-01-15
Salernitana,Lazio,Serie A,0:3,"['10.22', '5.51', '1.29']",2022-01-15
Sampdoria,Torino,Serie A,1:2,"['3.53', '3.36', '2.12']",2022-01-15
Cagliari,Bologna,Serie A,2:1,"['3.01', '3.31', '2.39']",2022-01-11
Torino,Fiorentina,Serie A,4:0,"['2.99', '3.27', '2.42']",2022-01-10
Napoli,Sampdoria,Serie A,1:0,"['1.39', '4.70', '8.06']",2022-01-09
Verona,Salernitana,Serie A,1:2,"['1.32', '5.27', '9.19']",2022-01-09
Venezia,AC Milan,Serie A,0:3,"['5.57', '4.12', '1.58']",2022-01-09
Udinese,Atalanta,Serie A,2:6,"['4.62', '3.70', '1.76']",2022-01-09
Inter,Lazio,Serie A,2:1,"['1.35', '5.19', '8.34']",2022-01-09
Genoa,Spezia,Serie A,0:1,"['2.30', '3.09', '3.41']",2022-01-09
Empoli,Sassuolo,Serie A,1:5,"['2.68', '3.72', '2.42']",2022-01-09
AS Roma,Juventus,Serie A,3:4,"['2.99', '3.17', '2.46']",2022-01-09
AC Milan,AS Roma,Serie A,3:1,"['2.22', '3.50', '3.19']",2022-01-06
Juventus,Napoli,Serie A,1:1,"['1.77', '3.56', '4.84']",2022-01-06
Lazio,Empoli,Serie A,3:3,"['1.58', '4.37', '5.24']",2022-01-06
Sampdoria,Cagliari,Serie A,1:2,"['1.75', '3.74', '4.68']",2022-01-06
Sassuolo,Genoa,Serie A,1:1,"['1.74', '3.77', '4.61']",2022-01-06
Spezia,Verona,Serie A,1:2,"['3.33', '3.40', '2.17']",2022-01-06
Verona,Fiorentina,Serie A,1:1,"['2.89', '3.41', '2.40']",2021-12-22
Sassuolo,Bologna,Serie A,0:3,"['2.10', '3.62', '3.32']",2021-12-22
Venezia,Lazio,Serie A,1:3,"['3.92', '3.37', '1.99']",2021-12-22
Napoli,Spezia,Serie A,0:1,"['1.25', '5.96', '11.85']",2021-12-22
AS Roma,Sampdoria,Serie A,1:1,"['1.49', '4.41', '6.42']",2021-12-22
Inter,Torino,Serie A,1:0,"['1.27', '5.71', '11.12']",2021-12-22
Empoli,AC Milan,Serie A,2:4,"['3.94', '3.82', '1.86']",2021-12-22
Genoa,Atalanta,Serie A,0:0,"['6.37', '4.54', '1.48']",2021-12-21
Udinese,Salernitana,Serie A,3:0 ,"[3.33, 3.33, 3.33]",2021-12-21
Juventus,Cagliari,Serie A,2:0,"['1.21', '6.22', '15.08']",2021-12-21
AC Milan,Napoli,Serie A,0:1,"['2.07', '3.45', '3.56']",2021-12-19
Fiorentina,Sassuolo,Serie A,2:2,"['1.90', '3.74', '3.86']",2021-12-19
Sampdoria,Venezia,Serie A,1:1,"['1.77', '3.64', '4.67']",2021-12-19
Spezia,Empoli,Serie A,1:1,"['2.65', '3.49', '2.55']",2021-12-19
Torino,Verona,Serie A,1:0,"['2.21', '3.33', '3.33']",2021-12-19
Cagliari,Udinese,Serie A,0:4,"['3.12', '3.23', '2.37']",2021-12-18
Bologna,Juventus,Serie A,0:2,"['4.15', '3.43', '1.92']",2021-12-18
Atalanta,AS Roma,Serie A,1:4,"['1.73', '4.03', '4.44']",2021-12-18
Salernitana,Inter,Serie A,0:5,"['20.37', '8.58', '1.13']",2021-12-17
Lazio,Genoa,Serie A,3:1,"['1.60', '3.90', '5.83']",2021-12-17
AS Roma,Spezia,Serie A,2:0,"['1.37', '5.00', '8.08']",2021-12-13
Inter,Cagliari,Serie A,4:0,"['1.14', '8.22', '17.46']",2021-12-12
Napoli,Empoli,Serie A,0:1,"['1.38', '5.12', '7.54']",2021-12-12
Sassuolo,Lazio,Serie A,2:1,"['2.33', '3.46', '2.98']",2021-12-12
Torino,Bologna,Serie A,2:1,"['2.12', '3.29', '3.61']",2021-12-12
Verona,Atalanta,Serie A,1:2,"['3.43', '3.60', '2.06']",2021-12-12
Fiorentina,Salernitana,Serie A,4:0,"['1.25', '6.01', '11.66']",2021-12-11
Udinese,AC Milan,Serie A,1:1,"['4.33', '3.57', '1.84']",2021-12-11
Venezia,Juventus,Serie A,1:1,"['8.10', '4.59', '1.40']",2021-12-11
Genoa,Sampdoria,Serie A,1:3,"['3.41', '3.17', '2.25']",2021-12-10
Empoli,Udinese,Serie A,3:1,"['2.31', '3.42', '3.02']",2021-12-06
Cagliari,Torino,Serie A,1:1,"['3.23', '3.14', '2.34']",2021-12-06
Juventus,Genoa,Serie A,2:0,"['1.21', '6.35', '14.26']",2021-12-05
Sampdoria,Lazio,Serie A,1:3,"['3.22', '3.50', '2.18']",2021-12-05
Spezia,Sassuolo,Serie A,2:2,"['3.01', '3.45', '2.30']",2021-12-05
Venezia,Verona,Serie A,3:4,"['3.78', '3.39', '2.03']",2021-12-05
Bologna,Fiorentina,Serie A,2:3,"['2.89', '3.22', '2.51']",2021-12-05
AC Milan,Salernitana,Serie A,2:0,"['1.24', '6.15', '12.03']",2021-12-04
AS Roma,Inter,Serie A,0:3,"['3.74', '3.66', '1.94']",2021-12-04
Napoli,Atalanta,Serie A,2:3,"['2.66', '3.42', '2.58']",2021-12-04
Lazio,Udinese,Serie A,4:4,"['1.63', '3.85', '5.50']",2021-12-02
Torino,Empoli,Serie A,2:2,"['1.76', '3.65', '4.68']",2021-12-02
Sassuolo,Napoli,Serie A,2:2,"['4.09', '3.82', '1.84']",2021-12-01
Genoa,AC Milan,Serie A,0:3,"['6.08', '4.14', '1.55']",2021-12-01
Inter,Spezia,Serie A,2:0,"['1.15', '8.45', '16.28']",2021-12-01
Bologna,AS Roma,Serie A,1:0,"['2.91', '3.32', '2.45']",2021-12-01
Atalanta,Venezia,Serie A,4:0,"['1.25', '5.85', '11.46']",2021-11-30
Fiorentina,Sampdoria,Serie A,3:1,"['1.74', '3.74', '4.76']",2021-11-30
Salernitana,Juventus,Serie A,0:2,"['9.05', '4.89', '1.35']",2021-11-30
Verona,Cagliari,Serie A,0:0,"['1.53', '4.18', '6.08']",2021-11-30
AC Milan,Sassuolo,Serie A,1:3,"['1.46', '4.76', '6.38']",2021-11-28
