homeTeam,awayTeam,league,odds,date,time
Lazio,Bologna,Serie A,"['1.71', '3.94', '4.67']",2022-02-12,15:00
Napoli,Inter,Serie A,"['2.72', '3.42', '2.54']",2022-02-12,18:00
Torino,Venezia,Serie A,"['1.49', '4.22', '6.92']",2022-02-12,20:45
AC Milan,Sampdoria,Serie A,"['1.40', '4.79', '7.57']",2022-02-13,12:30
Empoli,Cagliari,Serie A,"['1.98', '3.75', '3.56']",2022-02-13,15:00
Genoa,Salernitana,Serie A,"['1.84', '3.60', '4.34']",2022-02-13,15:00
Verona,Udinese,Serie A,"['1.86', '3.56', '4.24']",2022-02-13,15:00
Sassuolo,AS Roma,Serie A,"['3.33', '3.74', '2.06']",2022-02-13,18:00
Atalanta,Juventus,Serie A,"['2.85', '3.39', '2.45']",2022-02-13,20:45
Spezia,Fiorentina,Serie A,"['3.78', '3.59', '1.96']",2022-02-14,20:45
