0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
6.0,9.0,4.0,9.0,0.0,3.0,3.0,2.0,1.0,3.0,0.2922794117647059,1.59,4.1,5.44,1.0
6.0,16.0,12.0,11.0,0.0,3.0,3.0,3.0,1.0,2.0,3.94,5.91,4.53,1.5,0.0
9.0,5.0,4.0,13.0,3.0,2.0,1.0,0.0,1.0,5.0,0.14960629921259844,1.33,5.3,8.89,1.0
5.0,11.0,14.0,10.0,1.0,1.0,4.0,2.0,3.0,1.0,4.243243243243244,6.28,4.55,1.48,-1.0
4.0,6.0,3.0,5.0,2.0,2.0,2.0,0.0,4.0,2.0,0.6773255813953488,2.33,3.0,3.44,-1.0
1.0,6.0,13.0,8.0,0.0,1.0,5.0,4.0,0.0,2.0,2.3641304347826084,4.35,3.58,1.84,-1.0
19.0,6.0,8.0,8.0,4.0,2.0,0.0,2.0,2.0,2.0,0.08849557522123894,1.2,7.14,13.56,0.0
5.0,5.0,5.0,8.0,3.0,0.0,3.0,2.0,2.0,2.0,0.3983050847457627,1.88,3.2,4.72,0.0
8.0,9.0,11.0,7.0,2.0,2.0,2.0,4.0,1.0,1.0,2.480446927374302,4.44,3.72,1.79,0.0
7.0,11.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,0.9006849315068493,2.63,3.01,2.92,1.0
13.0,3.0,5.0,8.0,5.0,1.0,0.0,0.0,4.0,2.0,0.06529209621993126,1.14,8.22,17.46,1.0
7.0,9.0,9.0,3.0,0.0,5.0,1.0,4.0,1.0,1.0,0.49140049140049136,2.0,3.26,4.07,0.0
9.0,8.0,7.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.16849816849816848,1.38,4.84,8.19,0.0
7.0,3.0,10.0,5.0,3.0,3.0,0.0,2.0,4.0,0.0,0.2626262626262626,1.56,4.1,5.94,1.0
5.0,9.0,6.0,10.0,1.0,2.0,3.0,1.0,1.0,4.0,0.4937027707808564,1.96,3.41,3.97,-1.0
4.0,7.0,4.0,7.0,1.0,3.0,2.0,2.0,1.0,3.0,0.5358974358974359,2.09,3.15,3.9,1.0
11.0,14.0,13.0,7.0,2.0,0.0,4.0,3.0,2.0,1.0,1.8431372549019607,3.76,3.41,2.04,1.0
10.0,4.0,8.0,10.0,5.0,1.0,0.0,2.0,1.0,3.0,0.17076167076167073,1.39,4.75,8.14,1.0
7.0,9.0,6.0,8.0,2.0,1.0,3.0,2.0,1.0,3.0,0.3736951983298539,1.79,3.5,4.79,0.0
7.0,8.0,9.0,6.0,3.0,1.0,2.0,3.0,2.0,1.0,13.041322314049587,15.78,6.16,1.21,-1.0
8.0,8.0,4.0,6.0,1.0,3.0,2.0,2.0,1.0,3.0,0.35341365461847385,1.76,3.57,4.98,0.0
